#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6;;;;;;;;;
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com;;;;;;;;;
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable;;;;;;;;;
-----------------------------------------------;;;;;;;;;
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement;;;;;;;;;
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources;;;;;;;;;
-----------------------------------------------;;;;;;;;;
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection;Latitude;Longitude
13/01/2021;Bolivie;176761;9454;139672;5.35;79.02;15.63;-17.0568696;-64.9912286
13/01/2021;Brésil;8195637;204690;7284945;2.50;88.89;8.61;-10.3333333;-53.2
13/01/2021;Bahamas;8004;175;6331;2.19;79.10;18.72;24.7736546;-78.0000547
13/01/2021;Bhoutan;831;1;481;0.12;57.88;42.00;27.549511;90.5119273
13/01/2021;Botswana;16768;59;13310;0.35;79.38;20.27;-23.1681782;24.5928742
13/01/2021;Bélarus;217696;1544;200132;0.71;91.93;7.36;53.4250605;27.6971358
13/01/2021;Belize;11366;277;10502;2.44;92.40;5.16;16.8259793;-88.7600927
13/01/2021;Canada;679072;17255;582822;2.54;85.83;11.63;61.0666922;-107.9917071
13/01/2021;Rép. Dém. du Congo;20003;626;14767;3.13;73.82;23.05;-2.9814344;23.8222636
13/01/2021;République Centrafricaine;4973;63;4885;1.27;98.23;0.50;7.0323598;19.9981227
13/01/2021;Congo (Brazzaville);7160;112;5846;1.56;81.65;16.79;-0.7264327;15.6419155
13/01/2021;Suisse;490358;8488;317600;1.73;64.77;33.50;46.7985624;8.2319736
13/01/2021;Côte d'Ivoire;24186;140;22740;0.58;94.02;5.40;6.3794094;-5.4215606
13/01/2021;Chili;649135;17182;608804;2.65;93.79;3.57;-31.7613365;-71.3187697
13/01/2021;Cameroun;27336;451;24892;1.65;91.06;7.29;4.6125522;13.1535811
13/01/2021;Chine;87732;4634;82294;5.28;93.80;0.92;35.000074;104.999927
13/01/2021;Colombie;1816082;46782;1646892;2.58;90.68;6.74;2.8894434;-73.783892
13/01/2021;Costa Rica;181093;2367;139297;1.31;76.92;21.77;10.2735633;-84.0739102
13/01/2021;Cuba;15494;155;12252;1.00;79.08;19.92;23.0131338;-80.8328748
13/01/2021;Cap-vert;12506;115;11815;0.92;94.47;4.61;16.0000552;-24.0083947
13/01/2021;Chypre;27897;157;2057;0.56;7.37;92.06;34.9823018;33.1451285
13/01/2021;République Tchèque;855600;13656;692547;1.60;80.94;17.46;49.8167003;15.4749544
13/01/2021;Allemagne;1968326;42977;1616784;2.18;82.14;15.68;51.0834196;10.4234469
13/01/2021;Djibouti;5879;61;5801;1.04;98.67;0.29;11.8145966;42.8453061
13/01/2021;Danemark;183830;1623;158771;0.88;86.37;12.75;55.670249;10.3333283
13/01/2021;Dominique;109;0;101;0.00;92.66;7.34;15.4113138;-61.3653618
13/01/2021;République Dominicaine;184788;2427;139867;1.31;75.69;23.00;19.0974031;-70.3028026
13/01/2021;Algérie;102641;2816;69608;2.74;67.82;29.44;28.0000272;2.9999825
13/01/2021;Équateur;222567;14196;193581;6.38;86.98;6.65;-1.3397668;-79.3666965
13/01/2021;Estonie;34991;301;24360;0.86;69.62;29.52;58.7523778;25.3319078
13/01/2021;Égypte;151723;8304;119635;5.47;78.85;15.68;26.2540493;29.2675469
13/01/2021;Érythrée;1596;6;934;0.38;58.52;41.10;15.9500319;37.9999668
13/01/2021;Espagne;2137220;52683;150376;2.47;7.04;90.50;39.3262345;-4.8380649
13/01/2021;Éthiopie;128992;2004;114262;1.55;88.58;9.87;10.2116702;38.6521203
13/01/2021;Finlande;39335;602;31000;1.53;78.81;19.66;63.2467777;25.9209164
13/01/2021;Fidji;53;2;47;3.77;88.68;7.55;-18.1239696;179.0122737
13/01/2021;Îles Féroé;646;1;618;0.15;95.67;4.18;62.0448724;-7.0322972
13/01/2021;France;2800790;68431;180278;2.44;6.44;91.12;46.603354;1.8883335
13/01/2021;Gabon;9740;66;9549;0.68;98.04;1.28;-0.8999695;11.6899699
13/01/2021;Royaume-Uni;3169975;83325;5139;2.63;0.16;97.21;54.7023545;-3.2765753
13/01/2021;Grenade;132;1;123;0.76;93.18;6.06;12.1360374;-61.6904045
13/01/2021;Géorgie;243255;2846;227611;1.17;93.57;5.26;41.6809707;44.0287382
13/01/2021;Guyane Française;14370;74;9995;0.51;69.55;29.93;4.0039882;-52.999998
13/01/2021;Ghana;56421;338;54753;0.60;97.04;2.36;8.0300284;-1.0800271
13/01/2021;Gibraltar;3324;17;2213;0.51;66.58;32.91;36.140807;-5.3541295
13/01/2021;Gambie;3876;125;3678;3.22;94.89;1.88;13.470062;-15.4900464
13/01/2021;Guinée;14025;81;13255;0.58;94.51;4.91;10.7226226;-10.7083587
13/01/2021;Guadeloupe;8834;156;2242;1.77;25.38;72.85;16.2305103;-61.687126
13/01/2021;Guinée Équatoriale;5316;86;5169;1.62;97.23;1.15;1.613172;10.5170357
13/01/2021;Grèce;146020;5329;93764;3.65;64.21;32.14;38.9953683;21.9877132
13/01/2021;Guatemala;144982;5080;131974;3.50;91.03;5.47;15.6356088;-89.8988087
13/01/2021;Guinée-Bissau;2478;45;2400;1.82;96.85;1.33;12.100035;-14.9000214
13/01/2021;Guyana;6653;170;6047;2.56;90.89;6.55;4.8417097;-58.6416891
13/01/2021;Hong-Kong;9385;161;8584;1.72;91.47;6.82;22.2793278;114.1628131
13/01/2021;Honduras;129805;3294;59389;2.54;45.75;51.71;15.2572432;-86.0755145
13/01/2021;Croatie;222117;4472;212345;2.01;95.60;2.39;45.5643442;17.0118954
13/01/2021;Haïti;10415;238;8840;2.29;84.88;12.84;19.1399952;-72.3570972
13/01/2021;Hongrie;345710;10948;215453;3.17;62.32;34.51;47.1817585;19.5060937
13/01/2021;Indonésie;858043;24951;703464;2.91;81.98;15.11;-2.4833826;117.8902853
13/01/2021;Irlande;155591;2397;23364;1.54;15.02;83.44;52.865196;-7.9794599
13/01/2021;Israël;513715;3772;432533;0.73;84.20;15.07;31.5313113;34.8667654
13/01/2021;Inde;10495147;151529;10129111;1.44;96.51;2.04;22.3511148;78.6677428
13/01/2021;Iraq;605416;12915;562575;2.13;92.92;4.94;33.0955793;44.1749775
13/01/2021;Iran;1305339;56457;1094388;4.33;83.84;11.84;32.6475314;54.5643516
13/01/2021;Islande;5935;29;5742;0.49;96.75;2.76;64.9841821;-18.1059013
13/01/2021;Italie;2303263;79819;1653404;3.47;71.79;24.75;42.6384261;12.674297
13/01/2021;Jamaïque;13760;315;11526;2.29;83.76;13.95;18.1850507;-77.3947693
13/01/2021;Jordanie;309846;4076;292104;1.32;94.27;4.41;31.1667049;36.941628
13/01/2021;Japon;304128;4059;228917;1.33;75.27;23.40;36.5748441;139.2394179
13/01/2021;Kenya;98432;1716;81255;1.74;82.55;15.71;1.4419683;38.4313975
13/01/2021;Kirghizistan;82587;1375;78358;1.66;94.88;3.46;41.5089324;74.724091
13/01/2021;Cambodge;398;0;376;0.00;94.47;5.53;13.5066394;104.869423
13/01/2021;Comores;1166;21;889;1.80;76.24;21.96;-12.2045176;44.2832964
13/01/2021;Saint-Kitts-et-Nevis;34;0;31;0.00;91.18;8.82;17.250512;-62.6725973
13/01/2021;Corée du Sud;70212;1185;54636;1.69;77.82;20.50;36.638392;127.6961188
13/01/2021;Koweït;155874;946;149809;0.61;96.11;3.28;29.2733964;47.4979476
13/01/2021;Kazakhstan;210976;2879;184545;1.36;87.47;11.16;47.2286086;65.2093197
13/01/2021;Laos;41;0;40;0.00;97.56;2.44;20.0171109;103.378253
13/01/2021;Liban;226948;1705;144857;0.75;63.83;35.42;33.8750629;35.843409
13/01/2021;Sainte-Lucie;490;5;310;1.02;63.27;35.71;13.8250489;-60.975036
13/01/2021;Liechtenstein;2370;49;2211;2.07;93.29;4.64;47.1416307;9.5531527
13/01/2021;Sri Lanka;49537;244;43267;0.49;87.34;12.16;7.5554942;80.7137847
13/01/2021;Libéria;1876;84;1697;4.48;90.46;5.06;5.7499721;-9.3658524
13/01/2021;Lesotho;5937;85;1572;1.43;26.48;72.09;-29.6039267;28.3350193
13/01/2021;Lituanie;163042;2314;97336;1.42;59.70;38.88;55.3500003;23.7499997
13/01/2021;Luxembourg;48181;538;44848;1.12;93.08;5.80;49.8158683;6.1296751
13/01/2021;Lettonie;52032;909;36260;1.75;69.69;28.57;56.8406494;24.7537645
13/01/2021;Libye;106670;1629;83311;1.53;78.10;20.37;26.8234472;18.1236723
13/01/2021;Maroc;453789;7784;427351;1.72;94.17;4.11;31.1728205;-7.3362482
13/01/2021;Monaco;1092;7;900;0.64;82.42;16.94;43.738449;7.4242241
13/01/2021;Moldavie;150138;3176;139427;2.12;92.87;5.02;47.2879608;28.5670941
13/01/2021;Montenegro;53338;730;42995;1.37;80.61;18.02;42.9868853;19.5180992
13/01/2021;Saint Martin;1025;12;855;1.17;83.41;15.41;48.5683066;6.7539988
13/01/2021;Madagascar;18001;267;17447;1.48;96.92;1.59;-18.9249604;46.4416422
13/01/2021;Îles Marshall;4;0;4;0.00;100.00;0.00;6.9518742;170.9985095
13/01/2021;Macédoine;87117;2647;68364;3.04;78.47;18.49;41.6171214;21.7168387
13/01/2021;Mali;7687;303;5354;3.94;69.65;26.41;16.3700359;-2.2900239
13/01/2021;Birmanie;131737;2878;115061;2.18;87.34;10.47;17.1750495;95.9999652
13/01/2021;Mongolie;1469;2;909;0.14;61.88;37.99;46.8250388;103.8499736
13/01/2021;Macao;46;0;46;0.00;100.00;0.00;22.1757605;113.5514142
13/01/2021;Martinique;6227;43;98;0.69;1.57;97.74;14.6367927;-61.0158269
13/01/2021;Mauritanie;15707;392;13835;2.50;88.08;9.42;20.2540382;-9.2399263
13/01/2021;Malte;14958;234;12123;1.56;81.05;17.39;35.8885993;14.4476911
13/01/2021;Maurice;546;10;516;1.83;94.51;3.66;-20.2759451;57.5703566
13/01/2021;Maldives;14218;49;13402;0.34;94.26;5.39;4.7064352;73.3287853
13/01/2021;Malawi;9027;235;5838;2.60;64.67;32.72;-13.2687204;33.9301963
13/01/2021;Mexique;1556028;135682;1168354;8.72;75.09;16.19;22.5000485;-100.0000375
